# Electric Meter Monitor
# Date,2026-04-23 14:34:59
# SampleInterval,500
# Rows,31
# Signal,0,Voltage,V,FF1E90FF,1
# Signal,1,Current,A,FF00DC96,0
# Signal,2,P Active,W,FFFFB932,2
# Signal,3,Q React.,VAR,FFFF6432,2
# Signal,4,S Apprt.,VA,FFC882FF,2
# Signal,5,PF,PF,FFFF6E6E,2
# Signal,6,Frequency,Hz,FF8CC8FF,4
# Signal,7,Phase Dir,,FFFFDC00,4
# Signal,8,THDi 3,%,FF00A046,3
# Signal,9,THDi N,%,FF00FAAA,3
# Signal,10,THDu 3N,%,FFAAE6FF,3
# Signal,11,Current L3,A,FF008C64,0
# Signal,12,Current N,A,FF006E50,0
# Signal,13,Voltage 3N,V,FFAAE6FF,1
# Signal,14,P Active L3,W,FFD7A028,2
# Signal,15,Q React. L3,VAR,FFD75A28,2
# Signal,16,S Apprt. L3,VA,FFB46ED7,2
# Signal,17,PF L3,PF,FFD75A5A,2
# Signal,18,Angle U1-2,°,FFC8FFC8,4
# Signal,19,Angle U2-3,°,FFB4EBB4,4
# Signal,20,Angle U3-1,°,FFA0D7A0,4
Time (s),Voltage (V),Current (A),P Active (W),Q React. (VAR),S Apprt. (VA),PF (PF),Frequency (Hz),Phase Dir,THDi 3 (%),THDi N (%),THDu 3N (%),Current L3 (A),Current N (A),Voltage 3N (V),P Active L3 (W),Q React. L3 (VAR),S Apprt. L3 (VA),PF L3 (PF),Angle U1-2 (°),Angle U2-3 (°),Angle U3-1 (°)
0.3175196,237.85,0,0,0,0,1,50.03,-1,0,0,2.1,0,0,237.79,0,0,0,1,120,120,119
0.8150965,237.89,0,0,0,0,1,50.03,-1,0,0,2.1,0,0,237.89,0,0,0,1,120,120,120
1.3135771,237.92,0,0,0,0,1,50.02,-1,0.4,0,2.1,0,0,237.85,0,0,0,1,121,120,119
1.8062483,238.03,0,0,0,0,1,50.02,-1,0.4,0,2.1,0,0,238.01,0,0,0,1,121,120,119
2.317569,238,0,0,0,0,1,50.02,-1,0,0,2.1,0,0,237.89,0,0,0,1,121,120,119
2.8164124,238.09,0,0,0,0,1,50.02,-1,0,0,2.1,0,0,238.12,0,0,0,1,120,120,120
3.3363482,238.14,0,0,0,0,1,50.02,-1,0,0.3,2.1,0,0,238.07,0,0,0,1,120,121,119
3.8181262,238.33,0,0,0,0,1,50.02,-1,0,0.3,2,0,0,238.31,0,0,0,1,121,121,119
4.3284638,238.33,0,0,0,0,1,50.01,-1,0,2,2,0,0,238.27,0,0,0,1,121,120,119
4.8337955,238.53,0,0,0,0,1,50.01,-1,0,2,2,0,0,238.56,0,0,0,1,121,120,119
5.3484362,238.51,0,0,0,0,1,50.02,-1,1.4,0,2,0,0,238.51,0,0,0,1,120,120,119
5.8289052,238.53,0,0,0,0,1,50.02,-1,1.4,0,2,0,0,238.51,0,0,0,1,120,121,119
6.3178341,238.45,0,0,0,0,1,50.01,-1,0,2.9,2,0,0,238.38,0,0,0,1,121,120,119
6.8523046,238.53,0,0,0,0,1,50.01,-1,0,2.9,2.1,0,0,238.53,0,0,0,1,120,121,119
7.3277933,238.43,0,0,0,0,1,50.01,-1,1.2,3,2.1,0,0,238.45,0,0,0,1,120,120,119
7.8306643,238.42,0,0,0,0,1,50.01,-1,1.2,3,2,0,0,238.4,0,0,0,1,121,120,119
8.3188654,238.42,0,0,0,0,1,50.01,-1,0,4.6,2,0,0,238.45,0,0,0,1,120,120,120
8.8175409,238.42,0,0,0,0,1,50.01,-1,0,4.6,2.1,0,0,238.43,0,0,0,1,120,121,120
9.308773,238.53,0,0,0,0,1,50.02,-1,0,3.7,2.1,0,0,238.49,0,0,0,1,120,121,119
9.8124204,238.62,0,0,0,0,1,50.02,-1,0,3.7,2,0,0,238.58,0,0,0,1,120,121,119
10.3169065,238.56,0,0,0,0,1,50.02,-1,0,0,2,0,0,238.49,0,0,0,1,121,120,119
10.8141424,238.6,0,0,0,0,1,50.02,-1,0,0,2,0,0,238.62,0,0,0,1,121,120,119
11.317062,238.53,0,0,0,0,1,50.02,-1,0,3.4,2,0,0,238.56,0,0,0,1,121,120,120
11.8253724,238.53,0,0,0,0,1,50.02,-1,0,0,2,0,0,238.65,0,0,0,1,120,120,120
12.3167142,238.49,0,0,0,0,1,50.02,-1,0,0,2,0,0,238.54,0,0,0,1,120,120,120
12.8192026,238.49,0,0,0,0,1,50.02,-1,1.1,1.4,2,0,0,238.62,0,0,0,1,120,120,120
13.3159569,238.43,0,0,0,0,1,50.02,-1,1.1,1.4,2,0,0,238.47,0,0,0,1,120,120,120
13.8099364,238.4,0,0,0,0,1,50.02,-1,0,0,2.1,0,0,238.47,0,0,0,1,120,121,119
14.3163723,238.27,0,0,0,0,1,50.02,-1,0,0,2.1,0,0,238.27,0,0,0,1,120,121,119
14.8226354,238.25,0,0,0,0,1,50.02,-1,0,0,2.1,0,0,238.36,0,0,0,1,120,121,119
15.3313347,238.27,0,0,0,0,1,50.02,-1,0,0,2.1,0,0,238.23,0,0,0,1,120,120,119
# HD_Rows,31
# HD_Group,2,HDI3
# HD_Group,3,HDIN
# HD_Group,9,HDU3N
# HD_Orders,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
# HD_SECTION
Time (s),HDI3_H2 (%),HDI3_H3 (%),HDI3_H4 (%),HDI3_H5 (%),HDI3_H6 (%),HDI3_H7 (%),HDI3_H8 (%),HDI3_H9 (%),HDI3_H10 (%),HDI3_H11 (%),HDI3_H12 (%),HDI3_H13 (%),HDI3_H14 (%),HDI3_H15 (%),HDI3_H16 (%),HDI3_H17 (%),HDI3_H18 (%),HDI3_H19 (%),HDI3_H20 (%),HDI3_H21 (%),HDI3_H22 (%),HDI3_H23 (%),HDI3_H24 (%),HDI3_H25 (%),HDI3_H26 (%),HDI3_H27 (%),HDI3_H28 (%),HDI3_H29 (%),HDI3_H30 (%),HDI3_H31 (%),HDIN_H2 (%),HDIN_H3 (%),HDIN_H4 (%),HDIN_H5 (%),HDIN_H6 (%),HDIN_H7 (%),HDIN_H8 (%),HDIN_H9 (%),HDIN_H10 (%),HDIN_H11 (%),HDIN_H12 (%),HDIN_H13 (%),HDIN_H14 (%),HDIN_H15 (%),HDIN_H16 (%),HDIN_H17 (%),HDIN_H18 (%),HDIN_H19 (%),HDIN_H20 (%),HDIN_H21 (%),HDIN_H22 (%),HDIN_H23 (%),HDIN_H24 (%),HDIN_H25 (%),HDIN_H26 (%),HDIN_H27 (%),HDIN_H28 (%),HDIN_H29 (%),HDIN_H30 (%),HDIN_H31 (%),HDU3N_H2 (%),HDU3N_H3 (%),HDU3N_H4 (%),HDU3N_H5 (%),HDU3N_H6 (%),HDU3N_H7 (%),HDU3N_H8 (%),HDU3N_H9 (%),HDU3N_H10 (%),HDU3N_H11 (%),HDU3N_H12 (%),HDU3N_H13 (%),HDU3N_H14 (%),HDU3N_H15 (%),HDU3N_H16 (%),HDU3N_H17 (%),HDU3N_H18 (%),HDU3N_H19 (%),HDU3N_H20 (%),HDU3N_H21 (%),HDU3N_H22 (%),HDU3N_H23 (%),HDU3N_H24 (%),HDU3N_H25 (%),HDU3N_H26 (%),HDU3N_H27 (%),HDU3N_H28 (%),HDU3N_H29 (%),HDU3N_H30 (%),HDU3N_H31 (%)
7.830703,0,0.3,0.1,0.2,0,0.1,0.1,0,0.1,0.2,0.4,0.1,0.3,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0,0.1,0,0,0,0.3,0.1,0,0.5,1.2,0.2,0.4,0.6,0.4,0.2,0.2,0.4,0.3,0.2,0.3,0.4,0.9,0.2,0,0.1,0.1,0.7,0.2,0.4,0.2,0.8,0.5,0.2,0.3,0.8,0.8,0.4,0,0.1,0,1.6,0,1,0,0.1,0,0.1,0,0.1,0,0,0,0.1,0,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0.1
8.3189053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,1.1,0.4,0.8,1.1,0.4,0.3,1.1,0.6,1,1.6,0.7,0.2,0.6,0.3,1.3,1.4,0.5,0.8,0.1,0.6,0.5,1,0.1,0.7,0.6,0.1,0.1,0.5,0.3,0,0.1,0,1.6,0,1,0,0.1,0,0.1,0,0.1,0,0,0,0.1,0,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0.1
8.817582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,1.1,0.4,0.8,1.1,0.4,0.3,1.1,0.6,1,1.6,0.7,0.2,0.6,0.3,1.3,1.4,0.5,0.8,0.1,0.6,0.5,1,0.1,0.7,0.6,0.1,0.1,0.5,0.3,0,0.2,0,1.6,0,1.1,0,0.1,0,0.1,0,0.1,0,0,0,0.1,0,0.2,0,0.1,0,0.3,0,0,0,0,0,0.2,0,0.2
9.3088112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,1.3,0.6,0,0.4,0.7,1.4,1.1,0.4,0.3,0.6,0.4,0,0.3,0.1,0.5,1.1,0.5,0.6,0.4,0.2,0.4,0.1,0.9,0.4,0.3,0.4,0.6,0.4,0.4,0,0.2,0,1.6,0,1.1,0,0.1,0,0.1,0,0.1,0,0,0,0.1,0,0.2,0,0.1,0,0.3,0,0,0,0,0,0.2,0,0.2
9.8124594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,1.3,0.6,0,0.4,0.7,1.4,1.1,0.4,0.3,0.6,0.4,0,0.3,0.1,0.5,1.1,0.5,0.6,0.4,0.2,0.4,0.1,0.9,0.4,0.3,0.4,0.6,0.4,0.4,0,0.1,0,1.6,0,1.1,0,0.2,0,0.2,0,0.1,0,0,0,0.1,0,0.2,0,0,0,0.2,0,0,0,0.1,0,0.1,0,0.1
10.3169448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,1.6,0,1.1,0,0.2,0,0.2,0,0.1,0,0,0,0.1,0,0.2,0,0,0,0.2,0,0,0,0.1,0,0.1,0,0.1
10.8141873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,1,0.6,0.5,0.6,0.6,0.2,0.6,0.2,0.7,0.8,0.9,1,0.4,0.4,0.5,0.5,0.5,0.6,0.4,0.5,0.4,0.1,1,0.4,0.7,0.5,0.2,0.7,0.4,0,0.1,0,1.6,0,1,0,0.1,0,0.1,0,0.1,0,0,0,0.1,0,0.3,0,0.1,0,0.2,0,0,0,0,0,0,0,0
11.3171108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,1,0.6,0.5,0.6,0.6,0.2,0.6,0.2,0.7,0.8,0.9,1,0.4,0.4,0.5,0.5,0.5,0.6,0.4,0.5,0.4,0.1,1,0.4,0.7,0.5,0.2,0.7,0.4,0,0.2,0,1.6,0,1.1,0,0.1,0,0,0,0.2,0,0,0,0,0,0.2,0,0.1,0,0.4,0,0,0,0,0,0.1,0,0.1
11.8254112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,1.6,0,1.1,0,0.1,0,0,0,0.2,0,0,0,0,0,0.2,0,0.1,0,0.4,0,0,0,0,0,0.1,0,0.1
12.3167529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,1.5,0,1,0,0.1,0,0.1,0,0.2,0,0,0,0.1,0,0.2,0,0.1,0,0.3,0,0.1,0,0,0,0.1,0,0.2
12.8192504,0.3,0.2,0.1,0.2,0.1,0,0.1,0.1,0,0,0.1,0.1,0,0,0,0.2,0,0,0.1,0,0.1,0.3,0,0.2,0,0.1,0.2,0.3,0.1,0,0.1,0.3,0.2,0.4,0,0.2,0.2,0.1,0.2,0.1,0.2,0.2,0.4,0.2,0,0,0.1,0.2,0.1,0.2,0.1,0.1,0.1,0.4,0,0.1,0.3,0.2,0.2,0.2,0,0.2,0,1.5,0,1,0,0.1,0,0.1,0,0.2,0,0,0,0.1,0,0.2,0,0.1,0,0.3,0,0.1,0,0,0,0.1,0,0.2
13.3160043,0.3,0.2,0.1,0.2,0.1,0,0.1,0.1,0,0,0.1,0.1,0,0,0,0.2,0,0,0.1,0,0.1,0.3,0,0.2,0,0.1,0.2,0.3,0.1,0,0.1,0.3,0.2,0.4,0,0.2,0.2,0.1,0.2,0.1,0.2,0.2,0.4,0.2,0,0,0.1,0.2,0.1,0.2,0.1,0.1,0.1,0.4,0,0.1,0.3,0.2,0.2,0.2,0,0.2,0,1.6,0,1.1,0,0.2,0,0.1,0,0.2,0,0,0,0.1,0,0.2,0,0.1,0,0.4,0,0.2,0,0.1,0,0.2,0,0.2
13.8099918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,1.6,0,1.1,0,0.2,0,0.1,0,0.2,0,0,0,0.1,0,0.2,0,0.1,0,0.4,0,0.2,0,0.1,0,0.2,0,0.2
14.3164217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,1.6,0,1.1,0,0.2,0,0.1,0,0.1,0,0,0,0.2,0,0.2,0,0.1,0,0.3,0,0.1,0,0.1,0,0.1,0,0.1
14.8226803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,1.6,0,1.1,0,0.2,0,0.1,0,0.1,0,0,0,0.2,0,0.2,0,0.1,0,0.3,0,0.1,0,0.1,0,0.1,0,0.1
15.3313751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,1.6,0,1.1,0,0.2,0,0.1,0,0.1,0,0,0,0.1,0,0.2,0,0,0,0.2,0,0.1,0,0,0,0,0,0.1
